Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-58330,5543019,"RFX - Army & Air Force Exchange Service - Project shows completed for 77 locations, but result shows only 65 | 23557276",Bug,TASK-25.7.1.11,,,2025-Sep-11 2:57 PM,SAAS,,,RCA_DuplicateIssue,Retrospective_Done,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.8.1.6,,,,Duplicate Issue,TASK-25.7.1.11,TASK-25.8.1.6,,,,Duplicate,,,2025-Sep-17 11:39 AM,,,,AV6155
TM-58317,5541595,HF -- Creating Widgets and Data Not Displaying,Bug,TASK-25.7.1.11,,,2025-Sep-11 7:20 AM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Configuration,,,,,,Configuration Issue,,,2025-Sep-15 6:23 PM,,,,
TM-58312,5541318,Overall Walk Report not rendering Walks for field users,Bug,TASK-25.7.1.9,,,2025-Sep-11 6:02 AM,SAAS,,,RAR_ETL_DATA_ISSUE,RCA_Missing,Retrospective_Done,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.DATA_FIX,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Oct-02 11:36 AM,,,,SG7981
TM-58294,5538493,CARGA DE IMAGENES EN GENERAL,Bug,,,,2025-Sep-10 3:15 PM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.8.1.7,,,Others,Duplicate Issue,,,,,,Closed by Salesforce,,,2025-Sep-24 12:26 PM,,,,GB5176
TM-58292,5537939,CPU Threshold on the cl26PR RTM every Sunday 06:40:01 AM to 08:50:03 AM,Bug,,,,2025-Sep-10 11:16 AM,SAAS,,,NOC,NOC_ALERT,WTM-RISK-REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,,Configuration,,,,,,Configuration Issue,,,2025-Oct-03 10:50 AM,,,,SJ4372
TM-58286,5537462,"CLONE - [Major Incident] RFX - Travelodge Hotels Limited - URGENT - unable to edit walk template | 23380581",Bug,,,,2025-Sep-10 8:55 AM,SAAS,,,CAN_BE_TESTED,MIM,RELEASE_NOTES,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.9.1.0,,,,New Feature Bug,TASK-25.9.0.10,,,,,Work Complete,,,2025-Sep-11 9:23 AM,,,,RV1486
TM-58283,5537056,Loop Pre-Prod: Language Translation - Add Tagalog,Bug,,,,2025-Sep-10 7:02 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not In Scope,,,,,,Explained,,,2025-Sep-24 11:34 AM,,,,
TM-58270,5536468,Loop Pre-Prod: Auto Save Brings User to Top of Form,Bug,,,,2025-Sep-10 4:09 AM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.0,,,,Internally Reported,TASK-25.9.1.0,,,,,Work Complete,,,2025-Sep-16 11:35 AM,,,,RV1486
TM-58245,5533929,"v45HNMROW: Cognos, problems with namespace USER_ACTIONS and/or AUTHORIZATION",Bug,,,,2025-Sep-09 9:21 AM,SAAS,,,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-25 10:13 PM,,,,
TM-58244,5533780,Unable to assign Delivery 5023 to Team members,Bug,TASK-25.7.1.9,,,2025-Sep-09 9:12 AM,SAAS,,,CAN_BE_TESTED,RCA_TestCase_Needed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.7.1.10,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-26 8:13 AM,,,,MS4969
